clean,corrupted,correct_idx,template_label
The test lasted from the year 1778 to the year 17,The test lasted from the year 1701 to the year 17,78,7
The contract lasted from the year 1580 to the year 15,The contract lasted from the year 1501 to the year 15,80,8
The case lasted from the year 1253 to the year 12,The case lasted from the year 1201 to the year 12,53,5
The project lasted from the year 1271 to the year 12,The project lasted from the year 1201 to the year 12,71,7
The fall lasted from the year 1173 to the year 11,The fall lasted from the year 1101 to the year 11,73,7
The process lasted from the year 1134 to the year 11,The process lasted from the year 1101 to the year 11,34,3
The marriage lasted from the year 1137 to the year 11,The marriage lasted from the year 1101 to the year 11,37,3
The process lasted from the year 1792 to the year 17,The process lasted from the year 1701 to the year 17,92,9
The shift lasted from the year 1573 to the year 15,The shift lasted from the year 1501 to the year 15,73,7
The rise lasted from the year 1351 to the year 13,The rise lasted from the year 1301 to the year 13,51,5
The rise lasted from the year 1724 to the year 17,The rise lasted from the year 1701 to the year 17,24,2
The campaign lasted from the year 1714 to the year 17,The campaign lasted from the year 1701 to the year 17,14,1
The practice lasted from the year 1457 to the year 14,The practice lasted from the year 1401 to the year 14,57,5
The operation lasted from the year 1281 to the year 12,The operation lasted from the year 1201 to the year 12,81,8
The contract lasted from the year 1492 to the year 14,The contract lasted from the year 1401 to the year 14,92,9
The marriage lasted from the year 1406 to the year 14,The marriage lasted from the year 1401 to the year 14,6,0
The trial lasted from the year 1359 to the year 13,The trial lasted from the year 1301 to the year 13,59,5
The existence lasted from the year 1250 to the year 12,The existence lasted from the year 1201 to the year 12,50,5
The project lasted from the year 1631 to the year 16,The project lasted from the year 1601 to the year 16,31,3
The case lasted from the year 1711 to the year 17,The case lasted from the year 1701 to the year 17,11,1
The study lasted from the year 1256 to the year 12,The study lasted from the year 1201 to the year 12,56,5
The testing lasted from the year 1144 to the year 11,The testing lasted from the year 1101 to the year 11,44,4
The growth lasted from the year 1131 to the year 11,The growth lasted from the year 1101 to the year 11,31,3
The project lasted from the year 1420 to the year 14,The project lasted from the year 1401 to the year 14,20,2
The project lasted from the year 1406 to the year 14,The project lasted from the year 1401 to the year 14,6,0
The fall lasted from the year 1554 to the year 15,The fall lasted from the year 1501 to the year 15,54,5
The test lasted from the year 1694 to the year 16,The test lasted from the year 1601 to the year 16,94,9
The operation lasted from the year 1311 to the year 13,The operation lasted from the year 1301 to the year 13,11,1
The attack lasted from the year 1298 to the year 12,The attack lasted from the year 1201 to the year 12,98,9
The shift lasted from the year 1554 to the year 15,The shift lasted from the year 1501 to the year 15,54,5
The practice lasted from the year 1594 to the year 15,The practice lasted from the year 1501 to the year 15,94,9
The growth lasted from the year 1187 to the year 11,The growth lasted from the year 1101 to the year 11,87,8
The project lasted from the year 1273 to the year 12,The project lasted from the year 1201 to the year 12,73,7
The testing lasted from the year 1553 to the year 15,The testing lasted from the year 1501 to the year 15,53,5
The operation lasted from the year 1721 to the year 17,The operation lasted from the year 1701 to the year 17,21,2
The marriage lasted from the year 1167 to the year 11,The marriage lasted from the year 1101 to the year 11,67,6
The riot lasted from the year 1312 to the year 13,The riot lasted from the year 1301 to the year 13,12,1
The shift lasted from the year 1657 to the year 16,The shift lasted from the year 1601 to the year 16,57,5
The rule lasted from the year 1350 to the year 13,The rule lasted from the year 1301 to the year 13,50,5
The existence lasted from the year 1772 to the year 17,The existence lasted from the year 1701 to the year 17,72,7
The campaign lasted from the year 1576 to the year 15,The campaign lasted from the year 1501 to the year 15,76,7
The case lasted from the year 1377 to the year 13,The case lasted from the year 1301 to the year 13,77,7
The impact lasted from the year 1675 to the year 16,The impact lasted from the year 1601 to the year 16,75,7
The contract lasted from the year 1635 to the year 16,The contract lasted from the year 1601 to the year 16,35,3
The trial lasted from the year 1663 to the year 16,The trial lasted from the year 1601 to the year 16,63,6
The contract lasted from the year 1512 to the year 15,The contract lasted from the year 1501 to the year 15,12,1
The attack lasted from the year 1426 to the year 14,The attack lasted from the year 1401 to the year 14,26,2
The campaign lasted from the year 1685 to the year 16,The campaign lasted from the year 1601 to the year 16,85,8
The trial lasted from the year 1690 to the year 16,The trial lasted from the year 1601 to the year 16,90,9
The riot lasted from the year 1762 to the year 17,The riot lasted from the year 1701 to the year 17,62,6
The shift lasted from the year 1438 to the year 14,The shift lasted from the year 1401 to the year 14,38,3
The existence lasted from the year 1642 to the year 16,The existence lasted from the year 1601 to the year 16,42,4
The rule lasted from the year 1698 to the year 16,The rule lasted from the year 1601 to the year 16,98,9
The case lasted from the year 1736 to the year 17,The case lasted from the year 1701 to the year 17,36,3
The deal lasted from the year 1717 to the year 17,The deal lasted from the year 1701 to the year 17,17,1
The plan lasted from the year 1787 to the year 17,The plan lasted from the year 1701 to the year 17,87,8
The work lasted from the year 1261 to the year 12,The work lasted from the year 1201 to the year 12,61,6
The contract lasted from the year 1202 to the year 12,The contract lasted from the year 1201 to the year 12,2,0
The quest lasted from the year 1654 to the year 16,The quest lasted from the year 1601 to the year 16,54,5
The growth lasted from the year 1403 to the year 14,The growth lasted from the year 1401 to the year 14,3,0
The contract lasted from the year 1353 to the year 13,The contract lasted from the year 1301 to the year 13,53,5
The development lasted from the year 1235 to the year 12,The development lasted from the year 1201 to the year 12,35,3
The case lasted from the year 1132 to the year 11,The case lasted from the year 1101 to the year 11,32,3
The rise lasted from the year 1773 to the year 17,The rise lasted from the year 1701 to the year 17,73,7
The testing lasted from the year 1251 to the year 12,The testing lasted from the year 1201 to the year 12,51,5
The program lasted from the year 1458 to the year 14,The program lasted from the year 1401 to the year 14,58,5
The marriage lasted from the year 1322 to the year 13,The marriage lasted from the year 1301 to the year 13,22,2
The program lasted from the year 1575 to the year 15,The program lasted from the year 1501 to the year 15,75,7
The employment lasted from the year 1451 to the year 14,The employment lasted from the year 1401 to the year 14,51,5
The rise lasted from the year 1238 to the year 12,The rise lasted from the year 1201 to the year 12,38,3
The case lasted from the year 1251 to the year 12,The case lasted from the year 1201 to the year 12,51,5
The deal lasted from the year 1565 to the year 15,The deal lasted from the year 1501 to the year 15,65,6
The contract lasted from the year 1668 to the year 16,The contract lasted from the year 1601 to the year 16,68,6
The rule lasted from the year 1320 to the year 13,The rule lasted from the year 1301 to the year 13,20,2
The employment lasted from the year 1409 to the year 14,The employment lasted from the year 1401 to the year 14,9,0
The case lasted from the year 1273 to the year 12,The case lasted from the year 1201 to the year 12,73,7
The work lasted from the year 1112 to the year 11,The work lasted from the year 1101 to the year 11,12,1
The plan lasted from the year 1426 to the year 14,The plan lasted from the year 1401 to the year 14,26,2
The test lasted from the year 1608 to the year 16,The test lasted from the year 1601 to the year 16,8,0
The process lasted from the year 1546 to the year 15,The process lasted from the year 1501 to the year 15,46,4
The order lasted from the year 1230 to the year 12,The order lasted from the year 1201 to the year 12,30,3
The practice lasted from the year 1416 to the year 14,The practice lasted from the year 1401 to the year 14,16,1
The attack lasted from the year 1552 to the year 15,The attack lasted from the year 1501 to the year 15,52,5
The attack lasted from the year 1138 to the year 11,The attack lasted from the year 1101 to the year 11,38,3
The effect lasted from the year 1525 to the year 15,The effect lasted from the year 1501 to the year 15,25,2
The effect lasted from the year 1396 to the year 13,The effect lasted from the year 1301 to the year 13,96,9
The tests lasted from the year 1119 to the year 11,The tests lasted from the year 1101 to the year 11,19,1
The employment lasted from the year 1478 to the year 14,The employment lasted from the year 1401 to the year 14,78,7
The order lasted from the year 1455 to the year 14,The order lasted from the year 1401 to the year 14,55,5
The operation lasted from the year 1253 to the year 12,The operation lasted from the year 1201 to the year 12,53,5
The operation lasted from the year 1295 to the year 12,The operation lasted from the year 1201 to the year 12,95,9
The contact lasted from the year 1565 to the year 15,The contact lasted from the year 1501 to the year 15,65,6
The contact lasted from the year 1380 to the year 13,The contact lasted from the year 1301 to the year 13,80,8
The growth lasted from the year 1472 to the year 14,The growth lasted from the year 1401 to the year 14,72,7
The practice lasted from the year 1349 to the year 13,The practice lasted from the year 1301 to the year 13,49,4
The existence lasted from the year 1785 to the year 17,The existence lasted from the year 1701 to the year 17,85,8
The employment lasted from the year 1454 to the year 14,The employment lasted from the year 1401 to the year 14,54,5
The practice lasted from the year 1311 to the year 13,The practice lasted from the year 1301 to the year 13,11,1
The existence lasted from the year 1386 to the year 13,The existence lasted from the year 1301 to the year 13,86,8
The riot lasted from the year 1651 to the year 16,The riot lasted from the year 1601 to the year 16,51,5
The campaign lasted from the year 1332 to the year 13,The campaign lasted from the year 1301 to the year 13,32,3
The program lasted from the year 1779 to the year 17,The program lasted from the year 1701 to the year 17,79,7
The impact lasted from the year 1230 to the year 12,The impact lasted from the year 1201 to the year 12,30,3
The rise lasted from the year 1319 to the year 13,The rise lasted from the year 1301 to the year 13,19,1
The fall lasted from the year 1352 to the year 13,The fall lasted from the year 1301 to the year 13,52,5
The impact lasted from the year 1697 to the year 16,The impact lasted from the year 1601 to the year 16,97,9
The process lasted from the year 1167 to the year 11,The process lasted from the year 1101 to the year 11,67,6
The tests lasted from the year 1205 to the year 12,The tests lasted from the year 1201 to the year 12,5,0
The testing lasted from the year 1369 to the year 13,The testing lasted from the year 1301 to the year 13,69,6
The plan lasted from the year 1166 to the year 11,The plan lasted from the year 1101 to the year 11,66,6
The shift lasted from the year 1475 to the year 14,The shift lasted from the year 1401 to the year 14,75,7
The contact lasted from the year 1604 to the year 16,The contact lasted from the year 1601 to the year 16,4,0
The riot lasted from the year 1148 to the year 11,The riot lasted from the year 1101 to the year 11,48,4
The study lasted from the year 1176 to the year 11,The study lasted from the year 1101 to the year 11,76,7
The attack lasted from the year 1321 to the year 13,The attack lasted from the year 1301 to the year 13,21,2
The deal lasted from the year 1385 to the year 13,The deal lasted from the year 1301 to the year 13,85,8
The tests lasted from the year 1419 to the year 14,The tests lasted from the year 1401 to the year 14,19,1
The project lasted from the year 1441 to the year 14,The project lasted from the year 1401 to the year 14,41,4
The process lasted from the year 1694 to the year 16,The process lasted from the year 1601 to the year 16,94,9
The shift lasted from the year 1703 to the year 17,The shift lasted from the year 1701 to the year 17,3,0
The tests lasted from the year 1209 to the year 12,The tests lasted from the year 1201 to the year 12,9,0
The fall lasted from the year 1740 to the year 17,The fall lasted from the year 1701 to the year 17,40,4
The testing lasted from the year 1556 to the year 15,The testing lasted from the year 1501 to the year 15,56,5
The riot lasted from the year 1539 to the year 15,The riot lasted from the year 1501 to the year 15,39,3
The work lasted from the year 1469 to the year 14,The work lasted from the year 1401 to the year 14,69,6
The fall lasted from the year 1637 to the year 16,The fall lasted from the year 1601 to the year 16,37,3
The case lasted from the year 1514 to the year 15,The case lasted from the year 1501 to the year 15,14,1
The rule lasted from the year 1445 to the year 14,The rule lasted from the year 1401 to the year 14,45,4
The marriage lasted from the year 1356 to the year 13,The marriage lasted from the year 1301 to the year 13,56,5
The project lasted from the year 1638 to the year 16,The project lasted from the year 1601 to the year 16,38,3
The contact lasted from the year 1294 to the year 12,The contact lasted from the year 1201 to the year 12,94,9
The process lasted from the year 1703 to the year 17,The process lasted from the year 1701 to the year 17,3,0
The progress lasted from the year 1613 to the year 16,The progress lasted from the year 1601 to the year 16,13,1
The trip lasted from the year 1768 to the year 17,The trip lasted from the year 1701 to the year 17,68,6
The campaign lasted from the year 1588 to the year 15,The campaign lasted from the year 1501 to the year 15,88,8
The rise lasted from the year 1133 to the year 11,The rise lasted from the year 1101 to the year 11,33,3
The case lasted from the year 1784 to the year 17,The case lasted from the year 1701 to the year 17,84,8
The progress lasted from the year 1282 to the year 12,The progress lasted from the year 1201 to the year 12,82,8
The process lasted from the year 1772 to the year 17,The process lasted from the year 1701 to the year 17,72,7
The attack lasted from the year 1244 to the year 12,The attack lasted from the year 1201 to the year 12,44,4
The project lasted from the year 1787 to the year 17,The project lasted from the year 1701 to the year 17,87,8
The trial lasted from the year 1555 to the year 15,The trial lasted from the year 1501 to the year 15,55,5
The test lasted from the year 1470 to the year 14,The test lasted from the year 1401 to the year 14,70,7
The campaign lasted from the year 1529 to the year 15,The campaign lasted from the year 1501 to the year 15,29,2
The fall lasted from the year 1702 to the year 17,The fall lasted from the year 1701 to the year 17,2,0
The operation lasted from the year 1489 to the year 14,The operation lasted from the year 1401 to the year 14,89,8
The marriage lasted from the year 1404 to the year 14,The marriage lasted from the year 1401 to the year 14,4,0
The employment lasted from the year 1328 to the year 13,The employment lasted from the year 1301 to the year 13,28,2
The contract lasted from the year 1322 to the year 13,The contract lasted from the year 1301 to the year 13,22,2
The fall lasted from the year 1413 to the year 14,The fall lasted from the year 1401 to the year 14,13,1
The shift lasted from the year 1174 to the year 11,The shift lasted from the year 1101 to the year 11,74,7
The operation lasted from the year 1419 to the year 14,The operation lasted from the year 1401 to the year 14,19,1
The impact lasted from the year 1298 to the year 12,The impact lasted from the year 1201 to the year 12,98,9
The tests lasted from the year 1557 to the year 15,The tests lasted from the year 1501 to the year 15,57,5
The employment lasted from the year 1513 to the year 15,The employment lasted from the year 1501 to the year 15,13,1
The study lasted from the year 1204 to the year 12,The study lasted from the year 1201 to the year 12,4,0
The test lasted from the year 1357 to the year 13,The test lasted from the year 1301 to the year 13,57,5
The project lasted from the year 1422 to the year 14,The project lasted from the year 1401 to the year 14,22,2
The employment lasted from the year 1497 to the year 14,The employment lasted from the year 1401 to the year 14,97,9
The progress lasted from the year 1650 to the year 16,The progress lasted from the year 1601 to the year 16,50,5
The marriage lasted from the year 1606 to the year 16,The marriage lasted from the year 1601 to the year 16,6,0
The contract lasted from the year 1358 to the year 13,The contract lasted from the year 1301 to the year 13,58,5
The work lasted from the year 1419 to the year 14,The work lasted from the year 1401 to the year 14,19,1
The test lasted from the year 1429 to the year 14,The test lasted from the year 1401 to the year 14,29,2
The marriage lasted from the year 1595 to the year 15,The marriage lasted from the year 1501 to the year 15,95,9
The plan lasted from the year 1656 to the year 16,The plan lasted from the year 1601 to the year 16,56,5
The employment lasted from the year 1525 to the year 15,The employment lasted from the year 1501 to the year 15,25,2
The fall lasted from the year 1396 to the year 13,The fall lasted from the year 1301 to the year 13,96,9
The riot lasted from the year 1481 to the year 14,The riot lasted from the year 1401 to the year 14,81,8
The campaign lasted from the year 1262 to the year 12,The campaign lasted from the year 1201 to the year 12,62,6
The employment lasted from the year 1391 to the year 13,The employment lasted from the year 1301 to the year 13,91,9
The testing lasted from the year 1239 to the year 12,The testing lasted from the year 1201 to the year 12,39,3
The work lasted from the year 1561 to the year 15,The work lasted from the year 1501 to the year 15,61,6
The tests lasted from the year 1261 to the year 12,The tests lasted from the year 1201 to the year 12,61,6
The existence lasted from the year 1575 to the year 15,The existence lasted from the year 1501 to the year 15,75,7
The campaign lasted from the year 1352 to the year 13,The campaign lasted from the year 1301 to the year 13,52,5
The rule lasted from the year 1241 to the year 12,The rule lasted from the year 1201 to the year 12,41,4
The contract lasted from the year 1755 to the year 17,The contract lasted from the year 1701 to the year 17,55,5
The development lasted from the year 1161 to the year 11,The development lasted from the year 1101 to the year 11,61,6
The marriage lasted from the year 1232 to the year 12,The marriage lasted from the year 1201 to the year 12,32,3
The program lasted from the year 1184 to the year 11,The program lasted from the year 1101 to the year 11,84,8
The growth lasted from the year 1317 to the year 13,The growth lasted from the year 1301 to the year 13,17,1
The plan lasted from the year 1447 to the year 14,The plan lasted from the year 1401 to the year 14,47,4
The tests lasted from the year 1689 to the year 16,The tests lasted from the year 1601 to the year 16,89,8
The marriage lasted from the year 1793 to the year 17,The marriage lasted from the year 1701 to the year 17,93,9
The work lasted from the year 1436 to the year 14,The work lasted from the year 1401 to the year 14,36,3
The project lasted from the year 1710 to the year 17,The project lasted from the year 1701 to the year 17,10,1
The effect lasted from the year 1202 to the year 12,The effect lasted from the year 1201 to the year 12,2,0
The trip lasted from the year 1615 to the year 16,The trip lasted from the year 1601 to the year 16,15,1
The marriage lasted from the year 1207 to the year 12,The marriage lasted from the year 1201 to the year 12,7,0
The testing lasted from the year 1397 to the year 13,The testing lasted from the year 1301 to the year 13,97,9
The operation lasted from the year 1146 to the year 11,The operation lasted from the year 1101 to the year 11,46,4
The program lasted from the year 1780 to the year 17,The program lasted from the year 1701 to the year 17,80,8
The contact lasted from the year 1392 to the year 13,The contact lasted from the year 1301 to the year 13,92,9
The practice lasted from the year 1777 to the year 17,The practice lasted from the year 1701 to the year 17,77,7
The rise lasted from the year 1541 to the year 15,The rise lasted from the year 1501 to the year 15,41,4
The program lasted from the year 1380 to the year 13,The program lasted from the year 1301 to the year 13,80,8
The rise lasted from the year 1671 to the year 16,The rise lasted from the year 1601 to the year 16,71,7
The process lasted from the year 1763 to the year 17,The process lasted from the year 1701 to the year 17,63,6
The project lasted from the year 1357 to the year 13,The project lasted from the year 1301 to the year 13,57,5
The growth lasted from the year 1605 to the year 16,The growth lasted from the year 1601 to the year 16,5,0
The campaign lasted from the year 1662 to the year 16,The campaign lasted from the year 1601 to the year 16,62,6
The tests lasted from the year 1552 to the year 15,The tests lasted from the year 1501 to the year 15,52,5
The deal lasted from the year 1451 to the year 14,The deal lasted from the year 1401 to the year 14,51,5
The growth lasted from the year 1287 to the year 12,The growth lasted from the year 1201 to the year 12,87,8
The case lasted from the year 1396 to the year 13,The case lasted from the year 1301 to the year 13,96,9
The contract lasted from the year 1511 to the year 15,The contract lasted from the year 1501 to the year 15,11,1
The attack lasted from the year 1605 to the year 16,The attack lasted from the year 1601 to the year 16,5,0
The testing lasted from the year 1548 to the year 15,The testing lasted from the year 1501 to the year 15,48,4
The marriage lasted from the year 1652 to the year 16,The marriage lasted from the year 1601 to the year 16,52,5
The rule lasted from the year 1267 to the year 12,The rule lasted from the year 1201 to the year 12,67,6
The rise lasted from the year 1405 to the year 14,The rise lasted from the year 1401 to the year 14,5,0
The process lasted from the year 1278 to the year 12,The process lasted from the year 1201 to the year 12,78,7
The practice lasted from the year 1747 to the year 17,The practice lasted from the year 1701 to the year 17,47,4
The operation lasted from the year 1633 to the year 16,The operation lasted from the year 1601 to the year 16,33,3
The operation lasted from the year 1166 to the year 11,The operation lasted from the year 1101 to the year 11,66,6
The project lasted from the year 1590 to the year 15,The project lasted from the year 1501 to the year 15,90,9
The impact lasted from the year 1577 to the year 15,The impact lasted from the year 1501 to the year 15,77,7
The impact lasted from the year 1597 to the year 15,The impact lasted from the year 1501 to the year 15,97,9
The tests lasted from the year 1604 to the year 16,The tests lasted from the year 1601 to the year 16,4,0
The case lasted from the year 1417 to the year 14,The case lasted from the year 1401 to the year 14,17,1
The existence lasted from the year 1175 to the year 11,The existence lasted from the year 1101 to the year 11,75,7
The growth lasted from the year 1385 to the year 13,The growth lasted from the year 1301 to the year 13,85,8
The progress lasted from the year 1452 to the year 14,The progress lasted from the year 1401 to the year 14,52,5
The riot lasted from the year 1429 to the year 14,The riot lasted from the year 1401 to the year 14,29,2
The shift lasted from the year 1472 to the year 14,The shift lasted from the year 1401 to the year 14,72,7
The contact lasted from the year 1755 to the year 17,The contact lasted from the year 1701 to the year 17,55,5
The order lasted from the year 1229 to the year 12,The order lasted from the year 1201 to the year 12,29,2
The plan lasted from the year 1798 to the year 17,The plan lasted from the year 1701 to the year 17,98,9
The rule lasted from the year 1215 to the year 12,The rule lasted from the year 1201 to the year 12,15,1
The testing lasted from the year 1772 to the year 17,The testing lasted from the year 1701 to the year 17,72,7
The marriage lasted from the year 1320 to the year 13,The marriage lasted from the year 1301 to the year 13,20,2
The quest lasted from the year 1523 to the year 15,The quest lasted from the year 1501 to the year 15,23,2
The trip lasted from the year 1491 to the year 14,The trip lasted from the year 1401 to the year 14,91,9
The riot lasted from the year 1392 to the year 13,The riot lasted from the year 1301 to the year 13,92,9
The contact lasted from the year 1445 to the year 14,The contact lasted from the year 1401 to the year 14,45,4
The trip lasted from the year 1251 to the year 12,The trip lasted from the year 1201 to the year 12,51,5
The tests lasted from the year 1289 to the year 12,The tests lasted from the year 1201 to the year 12,89,8
The fall lasted from the year 1607 to the year 16,The fall lasted from the year 1601 to the year 16,7,0
The contract lasted from the year 1355 to the year 13,The contract lasted from the year 1301 to the year 13,55,5
The shift lasted from the year 1593 to the year 15,The shift lasted from the year 1501 to the year 15,93,9
The trip lasted from the year 1474 to the year 14,The trip lasted from the year 1401 to the year 14,74,7
The work lasted from the year 1342 to the year 13,The work lasted from the year 1301 to the year 13,42,4
The project lasted from the year 1754 to the year 17,The project lasted from the year 1701 to the year 17,54,5
The plan lasted from the year 1750 to the year 17,The plan lasted from the year 1701 to the year 17,50,5
The effect lasted from the year 1582 to the year 15,The effect lasted from the year 1501 to the year 15,82,8
The plan lasted from the year 1227 to the year 12,The plan lasted from the year 1201 to the year 12,27,2
The order lasted from the year 1539 to the year 15,The order lasted from the year 1501 to the year 15,39,3
The rule lasted from the year 1617 to the year 16,The rule lasted from the year 1601 to the year 16,17,1
The rule lasted from the year 1604 to the year 16,The rule lasted from the year 1601 to the year 16,4,0
The deal lasted from the year 1529 to the year 15,The deal lasted from the year 1501 to the year 15,29,2
The case lasted from the year 1436 to the year 14,The case lasted from the year 1401 to the year 14,36,3
The development lasted from the year 1677 to the year 16,The development lasted from the year 1601 to the year 16,77,7
The work lasted from the year 1787 to the year 17,The work lasted from the year 1701 to the year 17,87,8
The fall lasted from the year 1792 to the year 17,The fall lasted from the year 1701 to the year 17,92,9
The contract lasted from the year 1354 to the year 13,The contract lasted from the year 1301 to the year 13,54,5
The attack lasted from the year 1644 to the year 16,The attack lasted from the year 1601 to the year 16,44,4
The program lasted from the year 1656 to the year 16,The program lasted from the year 1601 to the year 16,56,5
The plan lasted from the year 1295 to the year 12,The plan lasted from the year 1201 to the year 12,95,9
The rise lasted from the year 1483 to the year 14,The rise lasted from the year 1401 to the year 14,83,8
