clean,corrupted,correct_answer,correct_idx,incorrect_answer,incorrect_idx,template_idx,template_text,template_label,variant_idx,quote_style
"for vertex in cluster_data:
    for point in vertex:
        if(point == ()):
            print(""No point at the current iteration","for vertex in cluster_data:
    for point in vertex:
        if(point == ()):
            print('No point at the current iteration",""")",1644,'),956,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_d,16,double
"if update_pending:
    print(""There is no topological sort, the graph has a cycle","if update_pending:
    print('There is no topological sort, the graph has a cycle",""")",1644,'),956,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_d,36,double
workspace = Project('Project A,"workspace = Project(""Project A",'),956,""")",1644,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_s,10,single
  print('Path from start.,"  print(""Path from start.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,22,single
    export_code = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,"    export_code = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",'),956,""")",1644,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_s,39,single
"def convert_to_set(segment):
    lower, end = segment.split('-","def convert_to_set(segment):
    lower, end = segment.split(""-",'),956,""")",1644,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_s,24,single
"    build_code = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    build_code = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,32,double
"    trace_label = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    trace_label = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,17,double
"for vertex in segment_data:
    for cell in vertex:
        if(cell == ()):
            print('No cell at the current iteration","for vertex in segment_data:
    for cell in vertex:
        if(cell == ()):
            print(""No cell at the current iteration",'),956,""")",1644,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_s,31,single
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    items.append(""Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    items.append('Invalid Input",""")",1644,'),956,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_d,22,double
"raise ValueError(""Corrupted state dump",raise ValueError('Corrupted state dump,""")",1644,'),956,6,raise ValueError('[ERROR_TEXT],raise_error_d,38,double
"def main():
    network = gt.tx_graph()
    network.read_data(""tree_data.csv","def main():
    network = gt.tx_graph()
    network.read_data('tree_data.csv",""")",1644,'),956,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_d,14,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    record.append('Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    record.append(""Invalid Input",'),956,""")",1644,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_s,3,single
"for vertex in vertex_data:
    for cell in vertex:
        if(cell == ()):
            print(""No cell at the current iteration","for vertex in vertex_data:
    for cell in vertex:
        if(cell == ()):
            print('No cell at the current iteration",""")",1644,'),956,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_d,3,double
"    export_stamp = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    export_stamp = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,6,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    issue.append('Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    issue.append(""Invalid Input",'),956,""")",1644,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_s,8,single
"if fault_found:
    print(""There is no topological sort, the graph has a cycle","if fault_found:
    print('There is no topological sort, the graph has a cycle",""")",1644,'),956,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_d,13,double
"if state_invalid:
    print('There is no topological sort, the graph has a cycle","if state_invalid:
    print(""There is no topological sort, the graph has a cycle",'),956,""")",1644,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_s,19,single
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    layers.append(""Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    layers.append('Invalid Input",""")",1644,'),956,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_d,34,double
"if has_warning:
    print('There is no topological sort, the graph has a cycle","if has_warning:
    print(""There is no topological sort, the graph has a cycle",'),956,""")",1644,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_s,5,single
"print(""Prompt Question 1.",print('Prompt Question 1.,""")",1644,'),956,3,print('[QUESTION_TEXT],print_stmt_3_d,20,double
"def main():
    graph = gt.tx_graph()
    graph.read_data('tree_data.csv","def main():
    graph = gt.tx_graph()
    graph.read_data(""tree_data.csv",'),956,""")",1644,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_s,4,single
    log_code = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,"    log_code = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",'),956,""")",1644,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_s,31,single
"if job_blocked:
    print('There is no topological sort, the graph has a cycle","if job_blocked:
    print(""There is no topological sort, the graph has a cycle",'),956,""")",1644,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_s,34,single
"if degree not in range(3, pools-1):
    print('Degree should be in the range [3, pools-1]","if degree not in range(3, pools-1):
    print(""Degree should be in the range [3, pools-1]",'),956,""")",1644,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_s,25,single
"print(""Result Question 4.",print('Result Question 4.,""")",1644,'),956,3,print('[QUESTION_TEXT],print_stmt_3_d,13,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    chunks.append('Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    chunks.append(""Invalid Input",'),956,""")",1644,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_s,24,single
"for solution in candidate_pool:
    if len(solution) == 0:
        print('invalid","for solution in candidate_pool:
    if len(solution) == 0:
        print(""invalid",'),956,""")",1644,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_s,2,single
"         if alt < min_cost.get(vertex, float('inf","         if alt < min_cost.get(vertex, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,24,single
"def main():
    mesh = gt.tx_graph()
    mesh.read_data('route_data.csv","def main():
    mesh = gt.tx_graph()
    mesh.read_data(""route_data.csv",'),956,""")",1644,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_s,35,single
  print('Distance from pivot.,"  print(""Distance from pivot.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,6,single
"if degree not in range(3, pools-1):
    print(""Degree should be in the range [3, pools-1]","if degree not in range(3, pools-1):
    print('Degree should be in the range [3, pools-1]",""")",1644,'),956,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_d,25,double
"  print(""Path from hub.",  print('Path from hub.,""")",1644,'),956,1,  print('[PRINT_TEXT],print_stmt_1_d,28,double
"clear_layout(""grid_file.txt",clear_layout('grid_file.txt,""")",1644,'),956,7,[FUNC_NAME]('[FILE_NAME],function_call_d,31,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    queries.append('Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    queries.append(""Invalid Input",'),956,""")",1644,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_s,15,single
"for match in result_queue:
    if len(match) == 0:
        print(""invalid","for match in result_queue:
    if len(match) == 0:
        print('invalid",""")",1644,'),956,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_d,34,double
    stamp_code = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,"    stamp_code = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",'),956,""")",1644,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_s,28,single
"    clock_token = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    clock_token = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,25,double
"         if alt < best_cost.get(target, float('inf","         if alt < best_cost.get(target, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,17,single
"if read_failed:
    print(""There is no topological sort, the graph has a cycle","if read_failed:
    print('There is no topological sort, the graph has a cycle",""")",1644,'),956,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_d,25,double
"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    packets.append(""Invalid Input","if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    packets.append('Invalid Input",""")",1644,'),956,9,"if D < 1 or D > 31 or H < 0 or H > 24 or M < 0 or M > 60:
    [RESULT_LIST].append('Invalid Input",append_call_d,14,double
"    audit_code = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    audit_code = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,36,double
"         if alt < route_map.get(vertex, float(""inf","         if alt < route_map.get(vertex, float('inf",""")",1644,'),956,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_d,34,double
  print('Distance from root.,"  print(""Distance from root.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,3,single
"    audit_label = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",    audit_label = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,""")",1644,'),956,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_d,15,double
"  print(""Distance from root.",  print('Distance from root.,""")",1644,'),956,1,  print('[PRINT_TEXT],print_stmt_1_d,3,double
project = Project('Project C,"project = Project(""Project C",'),956,""")",1644,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_s,2,single
"if degree not in range(3, block-1):
    print('Degree should be in the range [3, block-1]","if degree not in range(3, block-1):
    print(""Degree should be in the range [3, block-1]",'),956,""")",1644,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_s,28,single
"def convert_to_set(interval):
    left, right = interval.split('-","def convert_to_set(interval):
    left, right = interval.split(""-",'),956,""")",1644,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_s,37,single
"for answer in plan_list:
    if len(answer) == 0:
        print('invalid","for answer in plan_list:
    if len(answer) == 0:
        print(""invalid",'),956,""")",1644,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_s,16,single
"              print(""no more queued tasks",              print('no more queued tasks,""")",1644,'),956,12,              print('[STATUS_TEXT],print_stmt_4_d,3,double
"project = Project(""Project J",project = Project('Project J,""")",1644,'),956,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_d,9,double
raise ValueError('Invalid byte sequence,"raise ValueError(""Invalid byte sequence",'),956,""")",1644,6,raise ValueError('[ERROR_TEXT],raise_error_s,3,single
"clear_grid(""canvas_file.txt",clear_grid('canvas_file.txt,""")",1644,'),956,7,[FUNC_NAME]('[FILE_NAME],function_call_d,7,double
"if degree not in range(3, steps-1):
    print('Degree should be in the range [3, steps-1]","if degree not in range(3, steps-1):
    print(""Degree should be in the range [3, steps-1]",'),956,""")",1644,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_s,14,single
print('Result Query 2.,"print(""Result Query 2.",'),956,""")",1644,3,print('[QUESTION_TEXT],print_stmt_3_s,19,single
"              print(""no more pending writes",              print('no more pending writes,""")",1644,'),956,12,              print('[STATUS_TEXT],print_stmt_4_d,26,double
raise ValueError('Corrupted config blob,"raise ValueError(""Corrupted config blob",'),956,""")",1644,6,raise ValueError('[ERROR_TEXT],raise_error_s,37,single
              print('no more pending routes,"              print(""no more pending routes",'),956,""")",1644,12,              print('[STATUS_TEXT],print_stmt_4_s,12,single
  print('Cost from entry.,"  print(""Cost from entry.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,15,single
"if guard_failed:
    print(""There is no topological sort, the graph has a cycle","if guard_failed:
    print('There is no topological sort, the graph has a cycle",""")",1644,'),956,0,"if [COND]:
    print('There is no topological sort, the graph has a cycle",if_clause_1_d,39,double
"def main():
    graph = gt.tx_graph()
    graph.read_data('state_data.csv","def main():
    graph = gt.tx_graph()
    graph.read_data(""state_data.csv",'),956,""")",1644,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_s,7,single
"for answer in state_list:
    if len(answer) == 0:
        print('invalid","for answer in state_list:
    if len(answer) == 0:
        print(""invalid",'),956,""")",1644,11,"for [ITEM_VAR] in [ITEM_SET]:
    if len([ITEM_VAR]) == 0:
        print('invalid",for_loop_s,17,single
"pipeline = Project(""Project C",pipeline = Project('Project C,""")",1644,'),956,5,[OBJECT_VAR] = Project('[PROJECT_NAME],constructor_call_d,22,double
"for vertex in layer_data:
    for cell in vertex:
        if(cell == ()):
            print('No cell at the current iteration","for vertex in layer_data:
    for cell in vertex:
        if(cell == ()):
            print(""No cell at the current iteration",'),956,""")",1644,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_s,39,single
    build_stamp = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,"    build_stamp = datetime.datetime.now().strftime(""%Y%m%d_%H%M%S",'),956,""")",1644,4,    [TIME_VAR] = datetime.datetime.now().strftime('%Y%m%d_%H%M%S,strftime_call_s,3,single
"         if alt < dist.get(vertex, float(""inf","         if alt < dist.get(vertex, float('inf",""")",1644,'),956,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_d,4,double
"         if alt < lengths.get(target, float('inf","         if alt < lengths.get(target, float(""inf",'),956,""")",1644,10,"         if [ALT_VAR] < [DIST_VAR].get([NODE_VAR], float('inf",if_clause_3_s,12,single
"if degree not in range(3, groups-1):
    print('Degree should be in the range [3, groups-1]","if degree not in range(3, groups-1):
    print(""Degree should be in the range [3, groups-1]",'),956,""")",1644,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_s,35,single
"def convert_to_set(activity):
    begin, right = activity.split(""-","def convert_to_set(activity):
    begin, right = activity.split('-",""")",1644,'),956,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_d,13,double
print('Tracked Agent Usage.,"print(""Tracked Agent Usage.",'),956,""")",1644,2,print('[USAGE_TEXT],print_stmt_2_s,24,single
"for vertex in route_data:
    for cell in vertex:
        if(cell == ()):
            print(""No cell at the current iteration","for vertex in route_data:
    for cell in vertex:
        if(cell == ()):
            print('No cell at the current iteration",""")",1644,'),956,14,"for [OUTER_ITEM] in [OUTER_SET]:
    for [INNER_ITEM] in [OUTER_ITEM]:
        if([INNER_ITEM] == ()):
            print('No [INNER_ITEM] at the current iteration",nested_loop_d,27,double
"if degree not in range(3, files-1):
    print('Degree should be in the range [3, files-1]","if degree not in range(3, files-1):
    print(""Degree should be in the range [3, files-1]",'),956,""")",1644,8,"if degree not in range(3, [LIMIT_VAR]-1):
    print('Degree should be in the range [3, [LIMIT_VAR]-1]",if_clause_2_s,17,single
"def main():
    graph = gt.tx_graph()
    graph.read_data(""route_data.csv","def main():
    graph = gt.tx_graph()
    graph.read_data('route_data.csv",""")",1644,'),956,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_d,5,double
"def convert_to_set(segment):
    begin, right = segment.split(""-","def convert_to_set(segment):
    begin, right = segment.split('-",""")",1644,'),956,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_d,29,double
"def main():
    graph = gt.tx_graph()
    graph.read_data('network_data.csv","def main():
    graph = gt.tx_graph()
    graph.read_data(""network_data.csv",'),956,""")",1644,13,"def main():
    [GRAPH_VAR] = gt.tx_graph()
    [GRAPH_VAR].read_data('[GRAPH_FILE]",method_call_s,2,single
  print('Cost from origin.,"  print(""Cost from origin.",'),956,""")",1644,1,  print('[PRINT_TEXT],print_stmt_1_s,14,single
raise ValueError('Corrupted packet header,"raise ValueError(""Corrupted packet header",'),956,""")",1644,6,raise ValueError('[ERROR_TEXT],raise_error_s,35,single
print('Planned Agent Usage.,"print(""Planned Agent Usage.",'),956,""")",1644,2,print('[USAGE_TEXT],print_stmt_2_s,34,single
"def convert_to_set(segment):
    lower, upper = segment.split('-","def convert_to_set(segment):
    lower, upper = segment.split(""-",'),956,""")",1644,15,"def [FUNC_NAME]([ARG_VAR]):
    [LEFT_VAR], [RIGHT_VAR] = [ARG_VAR].split('-",string_split_s,26,single
