clean,corrupted,colon_newline,template_idx,template_text,template_label,variant_idx,branch_style
"if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = keep_dir
else","if program_dir == 0:
    program_dir = reverse_step
elif program_dir == 1:
    program_dir = keep_dir
elif",1,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_else,7,else
"if data[index] < value:
    stop_idx = index
    scan_low = index + 1
elif","if data[index] < value:
    stop_idx = index
    scan_low = index + 1
else",0,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_elif,38,elif
"if character in string:
    lhs, back = string.split(character, 1)
else","if character in string:
    lhs, back = string.split(character, 1)
elif",1,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_else,12,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{element}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{partner},{element}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,16,elif
"if match:
    entry = match
    return match
elif","if match:
    entry = match
    return match
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,36,elif
"if strategy == 'bfs':
    return bfs(start, visited, target_test, successors)
elif strategy == 'dfs':
    return dfs(start, visited, target_test, successors)
else","if strategy == 'bfs':
    return bfs(start, visited, target_test, successors)
elif strategy == 'dfs':
    return dfs(start, visited, target_test, successors)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,10,else
"if eval(problem) == prediction:
    print(""success"")
else","if eval(problem) == prediction:
    print(""success"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,22,else
"if time > stored_time:
    resume_time = stored_time + 1
else","if time > stored_time:
    resume_time = stored_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,39,else
"if end is None:
    goal = (maze_rows-1, maze_cols-1)
else","if end is None:
    goal = (maze_rows-1, maze_cols-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,24,else
"if time > stored_time:
    start_time = stored_time + 1
elif","if time > stored_time:
    start_time = stored_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,32,elif
"if time > prev_time:
    begin_at = prev_time + 1
elif","if time > prev_time:
    begin_at = prev_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,17,elif
"if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{term}"")
else","if random.random() < 0.5:
    constraint_list.append(f""ML,{neighbor},{term}"")
elif",1,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_else,31,else
"if character in string:
    prefix, remain = string.split(character, 1)
elif","if character in string:
    prefix, remain = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,22,elif
"if isl_constraint.is_equality():
    return check_expr == -sizes['1']
elif","if isl_constraint.is_equality():
    return check_expr == -sizes['1']
else",0,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_elif,38,elif
"if arr[y][c] == base_cell:
    arr[y][c] = 1
elif","if arr[y][c] == base_cell:
    arr[y][c] = 1
else",0,13,"if [BOARD_VAR][[ROW_VAR]][[COL_VAR]] == [OFF_VAR]:
    [BOARD_VAR][[ROW_VAR]][[COL_VAR]] = 1
else",cell_toggle_elif,14,elif
"if character in string:
    left, tail = string.split(character, 1)
else","if character in string:
    left, tail = string.split(character, 1)
elif",1,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_else,3,else
"if random.random() < 0.5:
    constraint_list.append(f""ML,{peer},{node}"")
elif","if random.random() < 0.5:
    constraint_list.append(f""ML,{peer},{node}"")
else",0,14,"if random.random() < 0.5:
    [OUT_VAR].append(f""ML,{[PEER_VAR]},{[ELEMENT_VAR]}"")
else",random_split_elif,3,elif
"if time > last_train_time:
    entry_time = last_train_time + 1
elif","if time > last_train_time:
    entry_time = last_train_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,6,elif
"if character in string:
    lhs, right = string.split(character, 1)
else","if character in string:
    lhs, right = string.split(character, 1)
elif",1,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_else,8,else
"if value:
    memo = value
    return value
elif","if value:
    memo = value
    return value
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,13,elif
"if output:
    record = output
    return output
else","if output:
    record = output
    return output
elif",1,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_else,19,else
"if character in string:
    front, suffix = string.split(character, 1)
elif","if character in string:
    front, suffix = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,34,elif
"if result:
    memo = result
    return result
else","if result:
    memo = result
    return result
elif",1,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_else,5,else
"if program_dir == 0:
    program_dir = back_dir
elif program_dir == 1:
    program_dir = pos_dir
elif","if program_dir == 0:
    program_dir = back_dir
elif program_dir == 1:
    program_dir = pos_dir
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,20,elif
"if arr[y][x] == base_cell:
    arr[y][x] = 1
else","if arr[y][x] == base_cell:
    arr[y][x] = 1
elif",1,13,"if [BOARD_VAR][[ROW_VAR]][[COL_VAR]] == [OFF_VAR]:
    [BOARD_VAR][[ROW_VAR]][[COL_VAR]] = 1
else",cell_toggle_else,4,else
"if time > last_time:
    resume_time = last_time + 1
else","if time > last_time:
    resume_time = last_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,31,else
"if match:
    buffer = match
    return match
else","if match:
    buffer = match
    return match
elif",1,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_else,34,else
"if (count <= 15):
    return gianlyung(nums, value)
else","if (count <= 15):
    return gianlyung(nums, value)
elif",1,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_else,25,else
"if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = upstream
elif","if program_dir == 0:
    program_dir = left_turn
elif program_dir == 1:
    program_dir = upstream
else",0,3,"if [DIR_VAR] == 0:
    [DIR_VAR] = [NEG_VAR]
elif [DIR_VAR] == 1:
    [DIR_VAR] = [POS_VAR]
else",program_dir_chain_elif,13,elif
"if character in string:
    head, right = string.split(character, 1)
else","if character in string:
    head, right = string.split(character, 1)
elif",1,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_else,24,else
"if room_num:
    set_parameter(board_instance, param_key, cell_name + ' - ' + room_num)
else","if room_num:
    set_parameter(board_instance, param_key, cell_name + ' - ' + room_num)
elif",1,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_else,2,else
"if data[index] < value:
    match_idx = index
    low = index + 1
else","if data[index] < value:
    match_idx = index
    low = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,24,else
"if arr[y][w] == self.C[0]:
    arr[y][w] = 1
else","if arr[y][w] == self.C[0]:
    arr[y][w] = 1
elif",1,13,"if [BOARD_VAR][[ROW_VAR]][[COL_VAR]] == [OFF_VAR]:
    [BOARD_VAR][[ROW_VAR]][[COL_VAR]] = 1
else",cell_toggle_else,35,else
"if eval(problem) == guess:
    print(""match"")
else","if eval(problem) == guess:
    print(""match"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,6,else
"if (count <= 15):
    return gianlyung(nums, value)
elif","if (count <= 15):
    return gianlyung(nums, value)
else",0,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_elif,25,elif
"if eval(problem) == solution:
    print(""passed"")
elif","if eval(problem) == solution:
    print(""passed"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,28,elif
"if root_id not in family_stats:
    family_stats[root_id] = (size, unit_count)
elif","if root_id not in family_stats:
    family_stats[root_id] = (size, unit_count)
else",0,7,"if [ROOT_VAR] not in [STATS_VAR]:
    [STATS_VAR][[ROOT_VAR]] = ([AREA_VAR], [COUNT_VAR])
else",stats_update_elif,31,elif
"if character in string:
    lhs, second = string.split(character, 1)
else","if character in string:
    lhs, second = string.split(character, 1)
elif",1,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_else,15,else
"if room_num:
    set_parameter(board_instance, slot_param, cell_name + ' - ' + room_num)
elif","if room_num:
    set_parameter(board_instance, slot_param, cell_name + ' - ' + room_num)
else",0,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_elif,34,elif
"if time > last_time:
    open_time = last_time + 1
else","if time > last_time:
    open_time = last_time + 1
elif",1,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_else,28,else
"if time > last_time:
    begin_at = last_time + 1
elif","if time > last_time:
    begin_at = last_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,25,elif
"if data[index] < value:
    last_idx = index
    start = index + 1
else","if data[index] < value:
    last_idx = index
    start = index + 1
elif",1,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_else,17,else
"if status:
    saved = status
    return status
elif","if status:
    saved = status
    return status
else",0,0,"if [RESULT_VAR]:
    [CACHE_VAR] = [RESULT_VAR]
    return [RESULT_VAR]
else",return_result_elif,25,elif
"if character in string:
    lhs, remain = string.split(character, 1)
elif","if character in string:
    lhs, remain = string.split(character, 1)
else",0,9,"if [CHAR_VAR] in [STRING_VAR]:
    [LEFT_VAR], [RIGHT_VAR] = [STRING_VAR].split([CHAR_VAR], 1)
else",string_align_elif,14,elif
"if time > stored_time:
    open_time = stored_time + 1
elif","if time > stored_time:
    open_time = stored_time + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,36,elif
"if data[index] < value:
    stop_idx = index
    left_idx = index + 1
elif","if data[index] < value:
    stop_idx = index
    left_idx = index + 1
else",0,10,"if [DATA_VAR][[INDEX_VAR]] < [VALUE_VAR]:
    [RESULT_VAR] = [INDEX_VAR]
    [LOW_VAR] = [INDEX_VAR] + 1
else",binary_search_elif,34,elif
"if eval(problem) == answer:
    print(""passed"")
else","if eval(problem) == answer:
    print(""passed"")
elif",1,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_else,3,else
"if time > last_seen:
    resume_time = last_seen + 1
elif","if time > last_seen:
    resume_time = last_seen + 1
else",0,4,"if [TIME_VAR] > [LAST_VAR]:
    [START_VAR] = [LAST_VAR] + 1
else",schedule_branch_elif,15,elif
"if eval(problem) == answer:
    print(""passed"")
elif","if eval(problem) == answer:
    print(""passed"")
else",0,1,"if eval([PROBLEM_VAR]) == [ANSWER_VAR]:
    print([SUCCESS_MSG])
else",answer_check_elif,3,elif
"if strategy == 'bfs':
    return bfs(start, visited, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, next_nodes)
else","if strategy == 'bfs':
    return bfs(start, visited, goal_test, next_nodes)
elif strategy == 'dfs':
    return dfs(start, visited, goal_test, next_nodes)
elif",1,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_else,2,else
"if (count <= 15):
    return walk_path(size, count)
else","if (count <= 15):
    return walk_path(size, count)
elif",1,8,"if ([NUM_VAR] <= [LIMIT]):
    return [FUNC_CALL]
else",inline_threshold_else,28,else
"if end is None:
    finish = (row_count-1, col_count-1)
else","if end is None:
    finish = (row_count-1, col_count-1)
elif",1,15,"if [END_VAR] is None:
    [GOAL_VAR] = ([ROWS_VAR]-1, [COLS_VAR]-1)
else",none_default_else,37,else
"if room_num:
    set_parameter(board_instance, field_param, room_name + ' - ' + room_num)
else","if room_num:
    set_parameter(board_instance, field_param, room_name + ' - ' + room_num)
elif",1,11,"if [ROOM_VAR]:
    set_parameter([BOARD_VAR], [PARAM_VAR], [ROOM_NAME] + ' - ' + [ROOM_VAR])
else",truthy_call_else,16,else
"if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], name, chain)
    elif","if isinstance(left, (list, tuple)):
    if isinstance(target_obj, (list, tuple)):
        compare_objects(left[0], target_obj[0], name, chain)
    else",0,12,"if isinstance([LEFT_VAR], (list, tuple)):
    if isinstance([RIGHT_VAR], (list, tuple)):
        compare_objects([LEFT_VAR][0], [RIGHT_VAR][0], [NAME_VAR], [PATH_VAR])
    else",compare_objects_elif,3,elif
"if strategy == 'bfs':
    return bfs(start, visited, is_goal, steps)
elif strategy == 'dfs':
    return dfs(start, visited, is_goal, steps)
elif","if strategy == 'bfs':
    return bfs(start, visited, is_goal, steps)
elif strategy == 'dfs':
    return dfs(start, visited, is_goal, steps)
else",0,5,"if [STRATEGY_VAR] == 'bfs':
    return bfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
elif [STRATEGY_VAR] == 'dfs':
    return dfs([START_VAR], [VISITED_VAR], [GOAL_VAR], [NEXT_VAR])
else",strategy_branch_elif,9,elif
"if isl_constraint.is_equality():
    return z3_constraint == -terms['1']
else","if isl_constraint.is_equality():
    return z3_constraint == -terms['1']
elif",1,6,"if [CONSTRAINT_VAR].is_equality():
    return [Z3_VAR] == -[COEFF_VAR]['1']
else",equality_case_else,3,else
